filename, language, JavaScript React, JSON, comment, blank, total
components\FAB.js, JavaScript React, 33, 0, 0, 5, 38
components\customHeader.js, JavaScript React, 56, 0, 0, 7, 63
components\customInput.js, JavaScript React, 114, 0, 0, 7, 121
components\simpleCard.js, JavaScript React, 100, 0, 0, 6, 106
components\tweetCard.js, JavaScript React, 92, 0, 0, 3, 95
components\userCard.js, JavaScript React, 141, 0, 0, 4, 145
containers\collapseContainer.js, JavaScript React, 66, 0, 0, 6, 72
containers\forms\lawyerSignUp.js, JavaScript React, 231, 0, 37, 18, 286
containers\forms\regularSignUp.js, JavaScript React, 222, 0, 24, 14, 260
containers\lists\lists.js, JavaScript React, 32, 0, 0, 7, 39
containers\mainContainer.js, JavaScript React, 44, 0, 0, 2, 46
containers\slides\slideContent.js, JavaScript React, 120, 0, 0, 4, 124
containers\tabs\latestNews.js, JavaScript React, 89, 0, 3, 12, 104
containers\tabs\popularNews.js, JavaScript React, 97, 0, 2, 10, 109
containers\tabs\tweets.js, JavaScript React, 98, 0, 7, 10, 115
data\questions.json, JSON, 0, 134, 0, 0, 134
data\statusList.json, JSON, 0, 47, 0, 0, 47
data\tweets.json, JSON, 0, 83, 0, 0, 83
data\users.json, JSON, 0, 21, 0, 0, 21
navigators\stackNavigator.js, JavaScript React, 28, 0, 0, 2, 30
navigators\tabNavigator.js, JavaScript React, 31, 0, 1, 3, 35
redux\actions\actions.js, JavaScript React, 61, 0, 0, 4, 65
redux\actions\types.js, JavaScript React, 7, 0, 0, 1, 8
redux\reducers\navReducer.js, JavaScript React, 16, 0, 0, 3, 19
redux\reducers\reducer.js, JavaScript React, 8, 0, 0, 2, 10
redux\reducers\userReducer.js, JavaScript React, 38, 0, 0, 3, 41
screens\addQuestion.js, JavaScript React, 146, 0, 11, 8, 165
screens\addTweet.js, JavaScript React, 103, 0, 2, 9, 114
screens\appIntro.js, JavaScript React, 135, 0, 0, 5, 140
screens\detail.js, JavaScript React, 320, 0, 5, 12, 337
screens\information.js, JavaScript React, 77, 0, 0, 3, 80
screens\mainScreen.js, JavaScript React, 52, 0, 0, 3, 55
screens\profile.js, JavaScript React, 114, 0, 0, 5, 119
screens\signIn.js, JavaScript React, 142, 0, 2, 12, 156
screens\signUp.js, JavaScript React, 116, 0, 1, 7, 124
screens\splashScreen.js, JavaScript React, 65, 0, 0, 7, 72
screens\userProfile.js, JavaScript React, 91, 0, 0, 2, 93
styles\colors.js, JavaScript React, 22, 0, 0, 0, 22
Total, -, 3107, 285, 95, 206, 3693